"acfrequency";"r Zin";"i Zin"
3.11889e+09;0.3711;-5.37027
3.12608e+09;0.3711;-5.33265
3.13329e+09;0.3711;-5.29506
3.14051e+09;0.3711;-5.2575
3.14775e+09;0.3711;-5.21996
3.155e+09;0.3711;-5.18245
3.16228e+09;0.3711;-5.14497
3.16957e+09;0.3711;-5.10752
3.17687e+09;0.3711;-5.07009
3.1842e+09;0.3711;-5.03269
3.19154e+09;0.3711;-4.99532
3.1989e+09;0.3711;-4.95798
3.20627e+09;0.3711;-4.92066
3.21366e+09;0.3711;-4.88336
3.22107e+09;0.3711;-4.84609
3.22849e+09;0.3711;-4.80885
3.23594e+09;0.3711;-4.77163
3.2434e+09;0.3711;-4.73444
3.25087e+09;0.3711;-4.69728
3.25837e+09;0.3711;-4.66013
3.26588e+09;0.3711;-4.62302
3.27341e+09;0.3711;-4.58593
3.28095e+09;0.3711;-4.54886
3.28852e+09;0.3711;-4.51181
3.2961e+09;0.3711;-4.47479
3.3037e+09;0.3711;-4.4378
3.31131e+09;0.3711;-4.40083
3.31894e+09;0.3711;-4.36388
3.3266e+09;0.3711;-4.32695
3.33426e+09;0.3711;-4.29005
3.34195e+09;0.3711;-4.25317
3.34965e+09;0.3711;-4.21631
3.35738e+09;0.3711;-4.17947
3.36512e+09;0.3711;-4.14266
3.37287e+09;0.3711;-4.10587
3.38065e+09;0.3711;-4.0691
3.38844e+09;0.3711;-4.03235
3.39625e+09;0.3711;-3.99562
3.40408e+09;0.3711;-3.95892
3.41193e+09;0.3711;-3.92223
3.41979e+09;0.3711;-3.88557
3.42768e+09;0.3711;-3.84893
3.43558e+09;0.3711;-3.8123
3.4435e+09;0.3711;-3.7757
3.45144e+09;0.3711;-3.73912
3.45939e+09;0.3711;-3.70255
3.46737e+09;0.3711;-3.66601
3.47536e+09;0.3711;-3.62949
3.48337e+09;0.3711;-3.59298
3.4914e+09;0.3711;-3.5565
3.49945e+09;0.3711;-3.52003
3.50752e+09;0.3711;-3.48358
3.5156e+09;0.3711;-3.44715
3.52371e+09;0.3711;-3.41074
3.53183e+09;0.3711;-3.37435
3.53997e+09;0.3711;-3.33798
3.54813e+09;0.3711;-3.30162
3.55631e+09;0.3711;-3.26528
3.56451e+09;0.3711;-3.22896
3.57273e+09;0.3711;-3.19265
3.58096e+09;0.3711;-3.15636
3.58922e+09;0.3711;-3.12009
3.59749e+09;0.3711;-3.08383
3.60579e+09;0.3711;-3.04759
3.6141e+09;0.3711;-3.01137
3.62243e+09;0.3711;-2.97517
3.63078e+09;0.3711;-2.93897
3.63915e+09;0.3711;-2.9028
3.64754e+09;0.3711;-2.86664
3.65595e+09;0.3711;-2.83049
3.66438e+09;0.3711;-2.79436
3.67282e+09;0.3711;-2.75825
3.68129e+09;0.3711;-2.72215
3.68978e+09;0.3711;-2.68606
3.69828e+09;0.3711;-2.64999
3.70681e+09;0.3711;-2.61393
3.71535e+09;0.3711;-2.57789
3.72392e+09;0.3711;-2.54186
3.7325e+09;0.3711;-2.50584
3.74111e+09;0.3711;-2.46984
3.74973e+09;0.3711;-2.43385
3.75837e+09;0.3711;-2.39787
3.76704e+09;0.3711;-2.36191
3.77572e+09;0.3711;-2.32595
3.78443e+09;0.3711;-2.29001
3.79315e+09;0.3711;-2.25409
3.80189e+09;0.3711;-2.21817
3.81066e+09;0.3711;-2.18227
3.81944e+09;0.3711;-2.14637
3.82825e+09;0.3711;-2.11049
3.83707e+09;0.3711;-2.07462
3.84592e+09;0.3711;-2.03876
3.85478e+09;0.3711;-2.00292
3.86367e+09;0.3711;-1.96708
3.87258e+09;0.3711;-1.93125
3.8815e+09;0.3711;-1.89544
3.89045e+09;0.3711;-1.85963
3.89942e+09;0.3711;-1.82383
3.90841e+09;0.3711;-1.78804
3.91742e+09;0.3711;-1.75227
3.92645e+09;0.3711;-1.7165
3.9355e+09;0.3711;-1.68074
3.94457e+09;0.3711;-1.64499
3.95367e+09;0.3711;-1.60925
3.96278e+09;0.3711;-1.57351
3.97192e+09;0.3711;-1.53779
3.98107e+09;0.3711;-1.50207
3.99025e+09;0.3711;-1.46636
3.99945e+09;0.3711;-1.43066
4.00867e+09;0.3711;-1.39497
4.01791e+09;0.3711;-1.35928
4.02717e+09;0.3711;-1.3236
4.03645e+09;0.3711;-1.28793
4.04576e+09;0.3711;-1.25227
4.05509e+09;0.3711;-1.21661
4.06443e+09;0.3711;-1.18096
4.0738e+09;0.3711;-1.14531
4.08319e+09;0.3711;-1.10967
4.09261e+09;0.3711;-1.07404
4.10204e+09;0.3711;-1.03841
4.1115e+09;0.3711;-1.00279
4.12098e+09;0.3711;-0.967172
4.13048e+09;0.3711;-0.93156
4.14e+09;0.3711;-0.895953
4.14954e+09;0.3711;-0.860351
4.15911e+09;0.3711;-0.824753
4.16869e+09;0.3711;-0.78916
4.1783e+09;0.3711;-0.75357
4.18794e+09;0.3711;-0.717985
4.19759e+09;0.3711;-0.682404
4.20727e+09;0.3711;-0.646826
4.21697e+09;0.3711;-0.611252
4.22669e+09;0.3711;-0.575681
4.23643e+09;0.3711;-0.540113
4.2462e+09;0.3711;-0.504548
4.25598e+09;0.3711;-0.468985
4.2658e+09;0.3711;-0.433425
4.27563e+09;0.3711;-0.397868
4.28549e+09;0.3711;-0.362312
4.29536e+09;0.3711;-0.326759
4.30527e+09;0.3711;-0.291207
4.31519e+09;0.3711;-0.255656
4.32514e+09;0.3711;-0.220107
4.33511e+09;0.3711;-0.18456
4.3451e+09;0.3711;-0.149013
4.35512e+09;0.3711;-0.113467
4.36516e+09;0.3711;-0.0779211
4.37522e+09;0.3711;-0.0423761
4.38531e+09;0.3711;-0.00683124
4.39542e+09;0.3711;0.0287135
4.40555e+09;0.3711;0.0642585
4.4157e+09;0.3711;0.0998038
4.42588e+09;0.3711;0.13535
4.43609e+09;0.3711;0.170896
4.44631e+09;0.3711;0.206444
4.45656e+09;0.3711;0.241992
4.46684e+09;0.3711;0.277542
4.47713e+09;0.3711;0.313093
4.48745e+09;0.3711;0.348646
4.4978e+09;0.3711;0.384201
4.50817e+09;0.3711;0.419758
4.51856e+09;0.3711;0.455317
4.52898e+09;0.3711;0.490878
4.53942e+09;0.3711;0.526442
4.54988e+09;0.3711;0.562009
4.56037e+09;0.3711;0.597579
4.57088e+09;0.3711;0.633152
4.58142e+09;0.3711;0.668728
4.59198e+09;0.3711;0.704308
4.60257e+09;0.3711;0.739892
4.61318e+09;0.3711;0.77548
4.62381e+09;0.3711;0.811071
4.63447e+09;0.3711;0.846667
4.64515e+09;0.3711;0.882268
4.65586e+09;0.3711;0.917873
4.66659e+09;0.3711;0.953483
4.67735e+09;0.3711;0.989098
4.68813e+09;0.3711;1.02472
4.69894e+09;0.3711;1.06034
4.70977e+09;0.3711;1.09598
4.72063e+09;0.3711;1.13161
4.73151e+09;0.3711;1.16726
4.74242e+09;0.3711;1.20291
4.75335e+09;0.3711;1.23856
4.76431e+09;0.3711;1.27422
4.77529e+09;0.3711;1.30989
4.7863e+09;0.3711;1.34557
4.79733e+09;0.3711;1.38125
4.80839e+09;0.3711;1.41694
4.81948e+09;0.3711;1.45264
4.83059e+09;0.3711;1.48835
4.84172e+09;0.3711;1.52406
4.85289e+09;0.3711;1.55978
4.86407e+09;0.3711;1.59551
4.87528e+09;0.3711;1.63125
4.88652e+09;0.3711;1.667
4.89779e+09;0.3711;1.70275
4.90908e+09;0.3711;1.73852
4.9204e+09;0.3711;1.77429
4.93174e+09;0.3711;1.81007
4.94311e+09;0.3711;1.84587
4.9545e+09;0.3711;1.88167
4.96592e+09;0.3711;1.91748
4.97737e+09;0.3711;1.95331
4.98884e+09;0.3711;1.98914
5.00035e+09;0.3711;2.02498
5.01187e+09;0.3711;2.06084
5.02343e+09;0.3711;2.0967
5.03501e+09;0.3711;2.13258
5.04661e+09;0.3711;2.16847
5.05825e+09;0.3711;2.20437
5.06991e+09;0.3711;2.24028
5.08159e+09;0.3711;2.2762
5.09331e+09;0.3711;2.31214
5.10505e+09;0.3711;2.34809
5.11682e+09;0.3711;2.38405
5.12861e+09;0.3711;2.42002
5.14044e+09;0.3711;2.456
5.15229e+09;0.3711;2.492
5.16416e+09;0.3711;2.52801
5.17607e+09;0.3711;2.56404
5.188e+09;0.3711;2.60008
5.19996e+09;0.3711;2.63613
5.21195e+09;0.3711;2.6722
5.22396e+09;0.3711;2.70828
5.236e+09;0.3711;2.74437
5.24807e+09;0.3711;2.78048
5.26017e+09;0.3711;2.8166
5.2723e+09;0.3711;2.85274
5.28445e+09;0.3711;2.8889
5.29663e+09;0.3711;2.92507
5.30884e+09;0.3711;2.96125
5.32108e+09;0.3711;2.99745
5.33335e+09;0.3711;3.03367
5.34564e+09;0.3711;3.0699
5.35797e+09;0.3711;3.10615
5.37032e+09;0.3711;3.14242
5.3827e+09;0.3711;3.1787
5.39511e+09;0.3711;3.215
5.40754e+09;0.3711;3.25131
5.42001e+09;0.3711;3.28765
5.4325e+09;0.3711;3.324
5.44503e+09;0.3711;3.36037
5.45758e+09;0.3711;3.39675
5.47016e+09;0.3711;3.43316
5.48277e+09;0.3711;3.46958
5.49541e+09;0.3711;3.50602
5.50808e+09;0.3711;3.54248
5.52077e+09;0.3711;3.57896
5.5335e+09;0.3711;3.61545
5.54626e+09;0.3711;3.65197
5.55904e+09;0.3711;3.68851
5.57186e+09;0.3711;3.72506
5.5847e+09;0.3711;3.76164
5.59758e+09;0.3711;3.79823
5.61048e+09;0.3711;3.83485
5.62341e+09;0.3711;3.87148
5.63638e+09;0.3711;3.90814
5.64937e+09;0.3711;3.94481
5.66239e+09;0.3711;3.98151
5.67545e+09;0.3711;4.01823
5.68853e+09;0.3711;4.05497
5.70164e+09;0.3711;4.09173
5.71479e+09;0.3711;4.12851
5.72796e+09;0.3711;4.16532
5.74116e+09;0.3711;4.20215
5.7544e+09;0.3711;4.239
5.76766e+09;0.3711;4.27587
5.78096e+09;0.3711;4.31276
5.79429e+09;0.3711;4.34968
5.80764e+09;0.3711;4.38662
5.82103e+09;0.3711;4.42358
5.83445e+09;0.3711;4.46057
5.8479e+09;0.3711;4.49758
5.86138e+09;0.3711;4.53462
5.87489e+09;0.3711;4.57168
5.88844e+09;0.3711;4.60876
5.90201e+09;0.3711;4.64587
5.91562e+09;0.3711;4.683
5.92925e+09;0.3711;4.72015
5.94292e+09;0.3711;4.75734
5.95662e+09;0.3711;4.79454
5.97035e+09;0.3711;4.83178
5.98412e+09;0.3711;4.86903
5.99791e+09;0.3711;4.90632
6.01174e+09;0.3711;4.94363
6.0256e+09;0.3711;4.98096
6.03949e+09;0.3711;5.01833
6.05341e+09;0.3711;5.05572
6.06736e+09;0.3711;5.09313
6.08135e+09;0.3711;5.13057
6.09537e+09;0.3711;5.16804
6.10942e+09;0.3711;5.20554
6.1235e+09;0.3711;5.24307
6.13762e+09;0.3711;5.28062
6.15177e+09;0.3711;5.3182
6.16595e+09;0.3711;5.35581
6.18016e+09;0.3711;5.39345
6.19441e+09;0.3711;5.43111
6.20869e+09;0.3711;5.46881
6.223e+09;0.3711;5.50653
6.23735e+09;0.3711;5.54429
6.25173e+09;0.3711;5.58207
6.26614e+09;0.3711;5.61988
6.28058e+09;0.3711;5.65772
6.29506e+09;0.3711;5.69559
6.30957e+09;0.3711;5.7335
6.32412e+09;0.3711;5.77143
6.3387e+09;0.3711;5.80939
6.35331e+09;0.3711;5.84739
6.36796e+09;0.3711;5.88541
6.38263e+09;0.3711;5.92347
6.39735e+09;0.3711;5.96155
6.4121e+09;0.3711;5.99967
6.42688e+09;0.3711;6.03782
6.44169e+09;0.3711;6.07601
6.45654e+09;0.3711;6.11422
6.47143e+09;0.3711;6.15247
6.48634e+09;0.3711;6.19075
6.5013e+09;0.3711;6.22906
6.51628e+09;0.3711;6.26741
6.53131e+09;0.3711;6.30579
6.54636e+09;0.3711;6.3442
6.56145e+09;0.3711;6.38265
6.57658e+09;0.3711;6.42113
6.59174e+09;0.3711;6.45964
6.60693e+09;0.3711;6.49819
6.62217e+09;0.3711;6.53677
6.63743e+09;0.3711;6.57539
6.65273e+09;0.3711;6.61404
6.66807e+09;0.3711;6.65273
6.68344e+09;0.3711;6.69145
6.69885e+09;0.3711;6.73021
6.71429e+09;0.3711;6.76901
6.72977e+09;0.3711;6.80784
6.74528e+09;0.3711;6.8467
6.76083e+09;0.3711;6.8856
6.77642e+09;0.3711;6.92454
6.79204e+09;0.3711;6.96352
6.80769e+09;0.3711;7.00253
6.82339e+09;0.3711;7.04158
6.83912e+09;0.3711;7.08067
6.85488e+09;0.3711;7.11979
6.87068e+09;0.3711;7.15895
6.88652e+09;0.3711;7.19815
6.9024e+09;0.3711;7.23739
6.91831e+09;0.3711;7.27667
6.93426e+09;0.3711;7.31598
6.95024e+09;0.3711;7.35534
6.96627e+09;0.3711;7.39473
6.98232e+09;0.3711;7.43416
6.99842e+09;0.3711;7.47364
7.01455e+09;0.3711;7.51315
7.03072e+09;0.3711;7.5527
7.04693e+09;0.3711;7.59229
7.06318e+09;0.3711;7.63192
7.07946e+09;0.3711;7.67159
7.09578e+09;0.3711;7.7113
7.11214e+09;0.3711;7.75106
7.12853e+09;0.3711;7.79085
7.14496e+09;0.3711;7.83069
7.16143e+09;0.3711;7.87057
7.17794e+09;0.3711;7.91048
7.19449e+09;0.3711;7.95045
7.21107e+09;0.3711;7.99045
7.2277e+09;0.3711;8.03049
7.24436e+09;0.3711;8.07058
7.26106e+09;0.3711;8.11071
7.2778e+09;0.3711;8.15089
7.29458e+09;0.3711;8.1911
7.31139e+09;0.3711;8.23136
7.32825e+09;0.3711;8.27167
7.34514e+09;0.3711;8.31202
7.36207e+09;0.3711;8.35241
7.37904e+09;0.3711;8.39284
7.39605e+09;0.3711;8.43333
7.4131e+09;0.3711;8.47385
7.43019e+09;0.3711;8.51442
7.44732e+09;0.3711;8.55504
7.46449e+09;0.3711;8.5957
7.4817e+09;0.3711;8.6364
7.49894e+09;0.3711;8.67716
7.51623e+09;0.3711;8.71796
7.53356e+09;0.3711;8.7588
7.55092e+09;0.3711;8.79969
7.56833e+09;0.3711;8.84063
7.58578e+09;0.3711;8.88161
7.60326e+09;0.3711;8.92265
7.62079e+09;0.3711;8.96372
7.63836e+09;0.3711;9.00485
7.65597e+09;0.3711;9.04602
7.67361e+09;0.3711;9.08725
7.6913e+09;0.3711;9.12852
7.70903e+09;0.3711;9.16984
7.72681e+09;0.3711;9.2112
7.74462e+09;0.3711;9.25262
7.76247e+09;0.3711;9.29408
7.78037e+09;0.3711;9.3356
7.7983e+09;0.3711;9.37716
7.81628e+09;0.3711;9.41878
7.8343e+09;0.3711;9.46044
7.85236e+09;0.3711;9.50215
7.87046e+09;0.3711;9.54392
7.8886e+09;0.3711;9.58573
7.90679e+09;0.3711;9.6276
7.92501e+09;0.3711;9.66952
7.94328e+09;0.3711;9.71148
7.96159e+09;0.3711;9.7535
7.97995e+09;0.3711;9.79557
7.99834e+09;0.3711;9.8377
8.01678e+09;0.3711;9.87987
8.03526e+09;0.3711;9.9221
8.05378e+09;0.3711;9.96438
8.07235e+09;0.3711;10.0067
8.09096e+09;0.3711;10.0491
8.10961e+09;0.3711;10.0915
8.12831e+09;0.3711;10.134
8.14704e+09;0.3711;10.1766
8.16582e+09;0.3711;10.2192
8.18465e+09;0.3711;10.2618
8.20352e+09;0.3711;10.3045
8.22243e+09;0.3711;10.3473
8.24138e+09;0.3711;10.3901
8.26038e+09;0.3711;10.433
8.27942e+09;0.3711;10.4759
8.29851e+09;0.3711;10.5189
8.31764e+09;0.3711;10.562
8.33681e+09;0.3711;10.6051
8.35603e+09;0.3711;10.6482
8.37529e+09;0.3711;10.6914
8.3946e+09;0.3711;10.7347
8.41395e+09;0.3711;10.778
8.43335e+09;0.3711;10.8214
8.45279e+09;0.3711;10.8648
8.47227e+09;0.3711;10.9083
8.4918e+09;0.3711;10.9519
8.51138e+09;0.3711;10.9955
8.531e+09;0.3711;11.0391
8.55067e+09;0.3711;11.0829
8.57038e+09;0.3711;11.1267
8.59014e+09;0.3711;11.1705
8.60994e+09;0.3711;11.2144
8.62979e+09;0.3711;11.2584
8.64968e+09;0.3711;11.3024
8.66962e+09;0.3711;11.3465
8.6896e+09;0.3711;11.3906
8.70964e+09;0.3711;11.4348
8.72971e+09;0.3711;11.4791
8.74984e+09;0.3711;11.5234
8.77001e+09;0.3711;11.5678
8.79023e+09;0.3711;11.6123
8.81049e+09;0.3711;11.6568
8.8308e+09;0.3711;11.7013
8.85116e+09;0.3711;11.746
8.87156e+09;0.3711;11.7907
8.89201e+09;0.3711;11.8354
8.91251e+09;0.3711;11.8802
8.93305e+09;0.3711;11.9251
8.95365e+09;0.3711;11.9701
8.97429e+09;0.3711;12.0151
8.99498e+09;0.3711;12.0602
9.01571e+09;0.3711;12.1053
9.03649e+09;0.3711;12.1505
9.05733e+09;0.3711;12.1958
9.07821e+09;0.3711;12.2411
9.09913e+09;0.3711;12.2865
9.12011e+09;0.3711;12.332
9.14113e+09;0.3711;12.3775
9.1622e+09;0.3711;12.4231
9.18333e+09;0.3711;12.4687
9.2045e+09;0.3711;12.5145
9.22571e+09;0.3711;12.5602
9.24698e+09;0.3711;12.6061
9.2683e+09;0.3711;12.652
9.28966e+09;0.3711;12.698
9.31108e+09;0.3711;12.7441
9.33254e+09;0.3711;12.7902
9.35406e+09;0.3711;12.8364
9.37562e+09;0.3711;12.8827
9.39723e+09;0.3711;12.929
9.4189e+09;0.3711;12.9754
9.44061e+09;0.3711;13.0219
9.46237e+09;0.3711;13.0684
9.48418e+09;0.3711;13.115
9.50605e+09;0.3711;13.1617
9.52796e+09;0.3711;13.2084
9.54993e+09;0.3711;13.2552
9.57194e+09;0.3711;13.3021
9.59401e+09;0.3711;13.3491
9.61612e+09;0.3711;13.3961
9.63829e+09;0.3711;13.4432
9.66051e+09;0.3711;13.4904
9.68278e+09;0.3711;13.5376
9.7051e+09;0.3711;13.5849
9.72747e+09;0.3711;13.6323
9.7499e+09;0.3711;13.6798
9.77237e+09;0.3711;13.7273
9.7949e+09;0.3711;13.7749
9.81748e+09;0.3711;13.8226
9.84011e+09;0.3711;13.8703
9.86279e+09;0.3711;13.9182
9.88553e+09;0.3711;13.966
9.90832e+09;0.3711;14.014
9.93116e+09;0.3711;14.0621
9.95405e+09;0.3711;14.1102
9.977e+09;0.3711;14.1584
1e+10;0.3711;14.2066
